  #liquid density at 303.00000   K =  722.67389 kg/cu.m
#    fluids/DECANE.FLD  1.0000
 # variables = "percent vol evap"  "temperature (C)" 
      0.68562   174.12017
      1.36654   174.12017
      2.04279   174.12017
      2.71441   174.12017
      3.38142   174.12017
      4.04385   174.12017
      4.70175   174.12017
      5.35513   174.12017
      6.00404   174.12017
      6.64849   174.12017
      7.28853   174.12017
      7.92418   174.12017
      8.55547   174.12017
      9.18243   174.12017
      9.80509   174.12017
     10.42349   174.12017
     11.03764   174.12017
     11.64759   174.12017
     12.25335   174.12017
     12.85496   174.12017
     13.45244   174.12017
     14.04583   174.12017
     14.63515   174.12017
     15.22043   174.12017
     15.80170   174.12017
     16.37898   174.12017
     16.95230   174.12017
     17.52169   174.12017
     18.08718   174.12017
     18.64879   174.12017
     19.20655   174.12017
     19.76049   174.12017
     20.31063   174.12017
     20.85699   174.12017
     21.39961   174.12017
     21.93851   174.12017
     22.47372   174.12017
     23.00525   174.12017
     23.53315   174.12017
     24.05742   174.12017
     24.57810   174.12017
     25.09520   174.12017
     25.60877   174.12017
     26.11881   174.12017
     26.62535   174.12017
     27.12842   174.12017
     27.62805   174.12017
     28.12424   174.12017
     28.61704   174.12017
     29.10645   174.12017
     29.59252   174.12017
     30.07524   174.12017
     30.55466   174.12017
     31.03079   174.12017
     31.50366   174.12017
     31.97329   174.12017
     32.43969   174.12017
     32.90290   174.12017
     33.36293   174.12017
     33.81981   174.12017
     34.27355   174.12017
     34.72419   174.12017
     35.17173   174.12017
     35.61621   174.12017
     36.05763   174.12017
     36.49604   174.12017
     36.93143   174.12017
     37.36384   174.12017
     37.79329   174.12017
     38.21979   174.12017
     38.64337   174.12017
     39.06404   174.12017
     39.48183   174.12017
     39.89676   174.12017
     40.30884   174.12017
     40.71809   174.12017
     41.12454   174.12017
     41.52820   174.12017
     41.92910   174.12017
     42.32724   174.12017
     42.72266   174.12017
     43.11536   174.12017
     43.50538   174.12017
     43.89272   174.12017
     44.27740   174.12017
     44.65944   174.12017
     45.03887   174.12017
     45.41570   174.12017
     45.78994   174.12017
     46.16161   174.12017
     46.53074   174.12017
     46.89734   174.12017
     47.26142   174.12017
     47.62300   174.12017
     47.98211   174.12017
